Ano;Norma;Data;Meta (%);Banda (p.p.);Limites Inferior e Superior (%);Inflação Efetiva (IPCA % a.a.)
2005;Resolução CMN nº 3.108;25/6/2003;4,5;2,5;2-7;5,69
2006;Resolução CMN nº 3.210;30/6/2004;4,5;2;2,5-6,5;3,14
2007;Resolução CMN nº 3.291;23/6/2005;4,5;2;2,5-6,5;4,46
2008;Resolução CMN nº 3.378;29/6/2006;4,5;2;2,5-6,5;5,9
2009;Resolução CMN nº 3.463;26/6/2007;4,5;2;2,5-6,5;4,31
2010;Resolução CMN nº 3.584;01/7/2008;4,5;2;2,5-6,5;5,91
2011;Resolução CMN nº 3.748;30/6/2009;4,5;2;2,5-6,5;6,5
2012;Resolução CMN nº 3.880;22/6/2010;4,5;2;2,5-6,5;5,84
2013;Resolução CMN nº 3.991;30/6/2011;4,5;2;2,5-6,5;5,91
2014;Resolução CMN nº 4.095;28/6/2012;4,5;2;2,5-6,5;6,41
2015;Resolução CMN nº 4.237;28/6/2013;4,5;2;2,5-6,5;10,67
2016;Resolução CMN nº 4.345;25/6/2014;4,5;2;2,5-6,5;6,29
2017;Resolução CMN nº 4.419;25/6/2015;4,5;1,5;3,0-6,0;2,95
2018;Resolução CMN nº 4.499;30/6/2016;4,5;1,5;3,0-6,0;3,75
2019;Resolução CMN nº 4.582;29/6/2017;4,25;1,5;2,75-5,75;4,31
2020;Resolução CMN nº 4.582;29/6/2017;4;1,5;2,5-5,5;4,52
2021;Resolução CMN nº 4.671;26/6/2018;3,75;1,5;2,25-5,25;10,06
2022;Resolução CMN nº 4.724;27/6/2019;3,50;1,5;2,00-5,00;
2023;Resolução CMN nº 4.831;25/06/2020;3,25;1,5;1,75 - 4,75;
2024;Resolução CMN nº 4.918;24/06/2021;3,00;1,5;1,5 - 4,50;
